,__name__,components_power_source,container,cpu_architecture,endpoint,instance,job,namespace,platform_power_source,pod,service,source,timestamp,kepler_node_info
55,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062730,1.0
56,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062733,1.0
57,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062736,1.0
58,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062739,1.0
59,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062742,1.0
60,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062745,1.0
61,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062748,1.0
62,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062751,1.0
63,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062754,1.0
64,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062757,1.0
65,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062760,1.0
66,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062763,1.0
67,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062766,1.0
68,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062769,1.0
69,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062772,1.0
70,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062775,1.0
71,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062778,1.0
72,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062781,1.0
73,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062784,1.0
74,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062787,1.0
75,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062790,1.0
76,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062793,1.0
77,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062796,1.0
78,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062799,1.0
79,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062802,1.0
80,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062805,1.0
81,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062808,1.0
82,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062811,1.0
83,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062814,1.0
84,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062817,1.0
85,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062820,1.0
86,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062823,1.0
87,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062826,1.0
