,__name__,container,endpoint,exported_instance,instance,job,mode,namespace,package,pod,service,source,timestamp,kepler_node_other_joules_total
83,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062814,227612.439
84,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062817,227612.439
85,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062820,227633.313
86,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062823,227633.313
87,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062826,227633.313
88,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062829,227633.313
89,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062832,227633.313
90,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062835,227633.313
91,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062838,227633.313
92,kepler_node_other_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,socket0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062841,227633.313
